16 Feb 2023 | 06:54:50,672 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#114, Id: 114, Priv: 0, Sess: 203.200.25.244:58877 ) , Type: Unity / .Net
16 Feb 2023 | 06:55:00,034 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 121, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58877 }
16 Feb 2023 | 06:55:00,034 | INFO  | SFSWorker:Sys:1 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#114, Id: 114, Priv: 0, Sess: 203.200.25.244:58877 ) , SessionLen: 9362, Type: Unity / .Net
16 Feb 2023 | 06:55:00,034 | INFO  | SFSWorker:Ext:1 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:55:15,321 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 122, Type: DEFAULT, Logged: No, IP: 203.200.25.244:58889 } on Server port: 9933 <---> 58889
16 Feb 2023 | 06:55:15,955 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi |     | User login: { Zone: UIExtension }, ( User Name: Guest#115, Id: 115, Priv: 0, Sess: 203.200.25.244:58889 ) , Type: Unity / .Net
16 Feb 2023 | 06:55:23,879 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: FootballExtension }, CCU: 0/0
16 Feb 2023 | 06:55:23,879 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: --=={{{ AdminZone }}}==-- }, CCU: 0/0
16 Feb 2023 | 06:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: UIExtension }, CCU: 0/1
16 Feb 2023 | 06:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: { Zone: BasicExamples }, CCU: 0/0
16 Feb 2023 | 06:55:23,880 | INFO  | pool-1-thread-4 | util.stats.CCULoggerTask |     | CCU stats: CCU: 0/1
16 Feb 2023 | 06:56:40,525 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session removed: { Id: 122, Type: DEFAULT, Logged: Yes, IP: 203.200.25.244:58889 }
16 Feb 2023 | 06:56:40,525 | INFO  | SFSWorker:Sys:4 | v2.api.SFSApi |     | User disconnected: { Zone: UIExtension }, ( User Name: Guest#115, Id: 115, Priv: 0, Sess: 203.200.25.244:58889 ) , SessionLen: 84570, Type: Unity / .Net
16 Feb 2023 | 06:56:40,525 | INFO  | SFSWorker:Ext:3 | Extensions |     | {BackendExtension}: user gone handler called 
16 Feb 2023 | 06:56:45,107 | INFO  | SocketReader | bitswarm.sessions.DefaultSessionManager |     | Session created: { Id: 123, Type: DEFAULT, Logged: No, IP: 203.200.25.244:60515 } on Server port: 9933 <---> 60515
